L0,L1,L2,L3,L4,L5,value
2177,,,,,,42951.6990828145
2177,2195,,,,,35216.2050661359
2177,2200,,,,,1661.22604908478
2177,2201,,,,,1851.029392567
2177,2202,,,,,3499.62558027717
2177,2204,,,,,45.6189793946491
2177,11815,,,,,97.4383446373217
2177,23125,,,,,413.457842072229
2177,23132,,,,,46.4573179867071
2177,0,,,,,120.640510658745
2177,2195,34764,,,,92.9496301150254
2177,2195,34765,,,,121.035514641531
2177,2195,34777,,,,28733.8235873238
2177,2195,34790,,,,479.4817069689
2177,2195,34805,,,,622.551789883603
2177,2195,34827,,,,381.368665897359
2177,2195,34833,,,,224.104373278093
2177,2195,34836,,,,67.3470889317983
2177,2195,34837,,,,165.473742041314
2177,2195,34842,,,,44.4082256589384
2177,2195,34847,,,,271.287738126841
2177,2195,34851,,,,64.0553911641312
2177,2195,34854,,,,71.4350767059517
2177,2195,34865,,,,120.939368030355
2177,2195,34872,,,,51.693490487605
2177,2195,34888,,,,70.9526542171588
2177,2195,34899,,,,1475.39028136829
2177,2195,34910,,,,70.7247941331419
2177,2195,34921,,,,70.6827465006803
2177,2195,34929,,,,78.1911501208396
2177,2195,34932,,,,216.910641885374
2177,2195,34934,,,,223.381673205747
2177,2195,34938,,,,564.88621892509
2177,2195,34952,,,,304.024966137228
2177,2195,0,,,,629.104550387085
2177,2200,31617,,,,160.079300472507
2177,2200,31652,,,,118.874792305189
2177,2200,34777,,,,511.485498115203
2177,2200,34952,,,,761.407923377177
2177,2200,0,,,,109.378534814702
2177,2201,31617,,,,516.841597990013
2177,2201,31650,,,,109.255440392765
2177,2201,31652,,,,383.806259987355
2177,2201,34777,,,,782.749695635928
2177,2201,0,,,,58.3763985609376
2177,2202,31617,,,,3393.97643119373
2177,2202,0,,,,105.649149083446
2177,2204,0,,,,45.6189793946491
2177,11815,34851,,,,83.4610726521721
2177,11815,0,,,,13.9772719851496
2177,23125,34938,,,,413.385047043481
2177,23125,0,,,,0.0727950287474136
2177,23132,0,,,,46.4573179867071
2177,2200,31617,34777,,,113.518638106146
2177,2200,31617,0,,,46.5606623663606
2177,2200,31652,34777,,,84.708213731093
2177,2200,31652,0,,,34.1665785740961
2177,2201,31617,34777,,,366.513060384763
2177,2201,31617,0,,,150.32853760525
2177,2201,31650,34777,,,55.2523622173669
2177,2201,31650,0,,,54.0030781753975
2177,2201,31652,34777,,,273.494002150371
2177,2201,31652,0,,,110.312257836984
2177,2202,31617,31017,,,82.6108542037444
2177,2202,31617,31617,,,198.149025498955
2177,2202,31617,33850,,,113.55714100944
2177,2202,31617,34777,,,2406.80450936654
2177,2202,31617,34791,,,64.7636750099699
2177,2202,31617,34837,,,56.1904123543064
2177,2202,31617,34934,,,70.7280365314831
2177,2202,31617,34954,,,124.186810617861
2177,2202,31617,0,,,276.985966601432
2177,2202,31617,31017,0,,82.6108542037443
2177,2202,31617,31617,34777,,140.5154036175
2177,2202,31617,31617,0,,57.6336218814546
2177,2202,31617,33850,0,,113.55714100944
