L0,L1,L2,L3,L4,L5,value,rest,fd
22905,,,,,,3361204,0,0
22905,22943,,,,,807717.104480951,0,0
22905,22976,,,,,2553486.89551905,0,0
22905,0,,,,,0,0,0
22905,22943,22943,,,,6838.2466895535,0,0
22905,22943,22953,,,,418699.000622911,0,0
22905,22943,22966,,,,259439.523858854,0,0
22905,22943,22976,,,,21618.1794507401,0,0
22905,22943,22977,,,,47026.4598667042,0,0
22905,22943,22979,,,,3203.68210432691,0,0
22905,22943,22981,,,,1947.25271598413,0,0
22905,22943,22982,,,,1387.92005525768,0,0
22905,22943,22983,,,,1701.22263982703,0,0
22905,22943,22986,,,,160.699072308092,0,0
22905,22943,22988,,,,14286.2316638293,0,0
22905,22943,22991,,,,31286.6549141817,0,0
22905,22943,22992,,,,122.03082647282,0,0
22905,22943,0,,,,0,0,0
22905,22976,25215,,,,456.064819096298,0,0
22905,22976,25815,,,,183.776853689973,0,0
22905,22976,26015,,,,2428.85443861518,0,0
22905,22976,27015,,,,387.543085810525,0,0
22905,22976,27415,,,,58.4944228159551,0,0
22905,22976,28015,,,,5353.4900464214,0,0
22905,22976,29615,,,,250.481793492393,0,0
22905,22976,30815,,,,82.0773065453747,0,0
22905,22976,31015,,,,639064.403368677,0,0
22905,22976,31415,,,,143.991901190418,0,0
22905,22976,31815,,,,322.33799307949,0,0
22905,22976,32215,,,,23408.0902000532,0,0
22905,22976,32815,,,,21846.3351659029,0,0
22905,22976,33015,,,,1814.6335157728,0,0
22905,22976,33415,,,,573.097647356818,0,0
22905,22976,33815,,,,1828438.72722207,0,0
22905,22976,34215,,,,8434.39958840116,0,0
22905,22976,34615,,,,2727.95497123406,0,0
22905,22976,34952,,,,17455.1708767052,0,17455.1708767052
22905,22976,0,,,,56.9703021214755,56.9703021214755,0
22905,22943,22943,22943,,,57.8935589301887,0,0
22905,22943,22943,22953,,,3544.76466951741,0,0
22905,22943,22943,22966,,,2196.45152408554,0,0
22905,22943,22943,22976,,,183.022549904022,0,0
22905,22943,22943,22977,,,398.132628021491,0,0
22905,22943,22943,22988,,,120.949247997111,0,0
22905,22943,22943,22991,,,264.877223977558,0,0
22905,22943,22943,0,,,72.1552871201702,72.1552871201702,0
22905,22943,22953,25450,,,41.4745370599703,0,0
22905,22943,22953,30850,,,62.5225275462846,0,0
22905,22943,22953,31250,,,219.414222376144,0,0
22905,22943,22953,32050,,,531.811693413835,0,0
22905,22943,22953,32488,,,454.957771353077,0,0
22905,22943,22953,32489,,,118.982396509694,0,0
22905,22943,22953,32491,,,37.2788036459574,0,0
22905,22943,22953,33049,,,188.995925662018,0,0
22905,22943,22953,33050,,,400.907903745703,0,0
22905,22943,22953,33778,,,146.189526133478,0,0
22905,22943,22953,33814,,,127.416497508274,0,0
22905,22943,22953,33818,,,125.945941890249,0,0
22905,22943,22953,33822,,,72.9834746201651,0,0
22905,22943,22953,33823,,,120.186614039749,0,0
22905,22943,22953,33845,,,90.9823957265663,0,0
22905,22943,22953,33849,,,114.304063939717,0,0
22905,22943,22953,33850,,,59273.4342037638,0,0
22905,22943,22953,33857,,,53.702714075448,0,0
22905,22943,22953,33861,,,99.6751492270151,0,0
22905,22943,22953,33863,,,67.2374594335336,0,0
22905,22943,22953,33864,,,102.038586309428,0,0
22905,22943,22953,33877,,,61.2634174735667,0,0
22905,22943,22953,33878,,,74.4037256149737,0,0
22905,22943,22953,33882,,,53.8206974003322,0,0
22905,22943,22953,33883,,,39.8903998564172,0,0
22905,22943,22953,33885,,,105.329635789839,0,0
22905,22943,22953,33886,,,34.2314468002108,0,0
22905,22943,22953,33888,,,50.8236582722322,0,0
22905,22943,22953,33889,,,65.2898631099411,0,0
22905,22943,22953,33893,,,53.3792920678032,0,0
22905,22943,22953,33900,,,56.2085898627578,0,0
22905,22943,22953,33901,,,68.6154192372412,0,0
22905,22943,22953,33907,,,76.4423428958709,0,0
22905,22943,22953,33908,,,36.8209585741242,0,0
