Code;Item;Group
p34;Motor vehicles, trailers and semi-trailers;Manufacturing, other
p35;Other transport equipment;Manufacturing, other
p36;"Furniture, other manufactured goods n.e.c.";Manufacturing, other
p37;Secondary raw materials;Manufacturing, other
p37.w.1;Bottles for treatment, Recycling of bottles by direct reuse;Manufacturing, other
p40.11.a;Electricity by coal;Manufacturing, other
p40.11.b;Electricity by gas;Manufacturing, other
p40.11.c;Electricity by nuclear;Manufacturing, other
p40.11.d;Electricity by hydro;Manufacturing, other
p40.11.e;Electricity by wind;Manufacturing, other
p40.11.f;Electricity by petroleum and other oil derivatives;Manufacturing, other
p40.11.g;Electricity by biomass and waste;Manufacturing, other
p40.11.h;Electricity by solar photovoltaic;Manufacturing, other
p40.11.i;Electricity by solar thermal;Manufacturing, other
p40.11.j;Electricity by tide, wave, ocean;Manufacturing, other
p40.11.k;Electricity by Geothermal;Manufacturing, other
p40.11.l;Electricity nec;Manufacturing, other
p40.12;Transmission services of electricity;Manufacturing, other
p40.13;Distribution and trade services of electricity;Manufacturing, other
p40.2.a;Coke oven gas;Manufacturing, other
p40.2.b;Blast Furnace Gas;Manufacturing, other
p40.2.c;Oxygen Steel Furnace Gas;Manufacturing, other
p40.2.d;Gas Works Gas;Manufacturing, other
p40.2.e;Biogas;Manufacturing, other
p40.2.1;Distribution services of gaseous fuels through mains;Manufacturing, other
p40.3;Steam and hot water supply services;Manufacturing, other
p41;Collected and purified water, distribution services of water;Manufacturing, other
p45;Construction work;Construction
p45.w;Secondary construction material for treatment, Re-processing of secondary construction material into aggregates;Construction
p50.a;Sale, maintenance, repair of motor vehicles, motor vehicles parts, motorcycles, motor cycles parts and accessoiries;Services
p50.b;Retail trade services of motor fuel;Services
p51;Wholesale trade and commission trade services, except of motor vehicles and motorcycles;Services
p52;"Retail  trade services, except of motor vehicles and motorcycles; repair services of personal and household goods";Services
p55;Hotel and restaurant services;Services
p60.1;Railway transportation services;Services
p60.2;Other land transportation services;Services
p60.3;Transportation services via pipelines;Services
p61.1;Sea and coastal water transportation services;Services
p61.2;Inland water transportation services;Services
p62;Air transport services;Services
p63;"Supporting and auxiliary transport services, travel agency services";Services
p64;Post and telecommunication services;Services
